step,metric,value
0,DISP_SUM,0.00
0,POP_SIZE,100.00
0,MAX_DIST,0.00
0,POPS_NUM,1.00
0,DISP_AVG,0.00
0,MEM_USED,33100000.00
0,LAST_FPS,113.12
100,DISP_SUM,1.41
100,POP_SIZE,8120.00
100,MAX_DIST,1.41
100,POPS_NUM,2.00
100,DISP_AVG,0.71
100,MEM_USED,33100000.00
100,LAST_FPS,85.11
200,DISP_SUM,9.89
200,POP_SIZE,26538.00
200,MAX_DIST,2.24
200,POPS_NUM,7.00
200,DISP_AVG,1.41
200,MEM_USED,33100000.00
200,LAST_FPS,69.35
300,DISP_SUM,33.33
300,POP_SIZE,70659.00
300,MAX_DIST,4.47
300,POPS_NUM,17.00
300,DISP_AVG,1.96
300,MEM_USED,33100000.00
300,LAST_FPS,48.12
400,DISP_SUM,143.27
400,POP_SIZE,190778.00
400,MAX_DIST,8.25
400,POPS_NUM,46.00
400,DISP_AVG,3.11
400,MEM_USED,33100000.00
400,LAST_FPS,36.89
500,DISP_SUM,449.00
500,POP_SIZE,436717.00
500,MAX_DIST,11.18
500,POPS_NUM,100.00
500,DISP_AVG,4.49
500,MEM_USED,33100000.00
500,LAST_FPS,32.31
600,DISP_SUM,1171.78
600,POP_SIZE,790009.00
600,MAX_DIST,13.42
600,POPS_NUM,188.00
600,DISP_AVG,6.23
600,MEM_USED,33100000.00
600,LAST_FPS,26.03
700,DISP_SUM,2386.52
700,POP_SIZE,1243471.00
700,MAX_DIST,16.28
700,POPS_NUM,302.00
700,DISP_AVG,7.90
700,MEM_USED,33100000.00
700,LAST_FPS,18.91
800,DISP_SUM,3678.38
800,POP_SIZE,1675801.00
800,MAX_DIST,17.69
800,POPS_NUM,402.00
800,DISP_AVG,9.15
800,MEM_USED,33100000.00
800,LAST_FPS,11.16
900,DISP_SUM,4779.73
900,POP_SIZE,1993468.00
900,MAX_DIST,20.52
900,POPS_NUM,477.00
900,DISP_AVG,10.02
900,MEM_USED,33100000.00
900,LAST_FPS,13.59
1000,DISP_SUM,5647.86
1000,POP_SIZE,2166641.00
1000,MAX_DIST,23.09
1000,POPS_NUM,528.00
1000,DISP_AVG,10.70
1000,MEM_USED,33100000.00
1000,LAST_FPS,12.77
1100,DISP_SUM,6312.19
1100,POP_SIZE,2262908.00
1100,MAX_DIST,27.46
1100,POPS_NUM,563.00
1100,DISP_AVG,11.21
1100,MEM_USED,33100000.00
1100,LAST_FPS,9.75
1200,DISP_SUM,6916.70
1200,POP_SIZE,2336563.00
1200,MAX_DIST,27.46
1200,POPS_NUM,591.00
1200,DISP_AVG,11.70
1200,MEM_USED,33100000.00
1200,LAST_FPS,12.07
1300,DISP_SUM,7685.01
1300,POP_SIZE,2418275.00
1300,MAX_DIST,28.64
1300,POPS_NUM,625.00
1300,DISP_AVG,12.30
1300,MEM_USED,33100000.00
1300,LAST_FPS,12.21
1400,DISP_SUM,8582.83
1400,POP_SIZE,2508275.00
1400,MAX_DIST,29.07
1400,POPS_NUM,664.00
1400,DISP_AVG,12.93
1400,MEM_USED,33100000.00
1400,LAST_FPS,13.13
1500,DISP_SUM,9112.40
1500,POP_SIZE,2563310.00
1500,MAX_DIST,32.39
1500,POPS_NUM,687.00
1500,DISP_AVG,13.26
1500,MEM_USED,33100000.00
1500,LAST_FPS,12.88
1600,DISP_SUM,9633.89
1600,POP_SIZE,2612020.00
1600,MAX_DIST,34.53
1600,POPS_NUM,706.00
1600,DISP_AVG,13.65
1600,MEM_USED,33100000.00
1600,LAST_FPS,13.36
1700,DISP_SUM,9903.87
1700,POP_SIZE,2627032.00
1700,MAX_DIST,34.93
1700,POPS_NUM,718.00
1700,DISP_AVG,13.79
1700,MEM_USED,33100000.00
1700,LAST_FPS,13.22
1800,DISP_SUM,10098.82
1800,POP_SIZE,2632184.00
1800,MAX_DIST,34.93
1800,POPS_NUM,727.00
1800,DISP_AVG,13.89
1800,MEM_USED,33100000.00
1800,LAST_FPS,13.19
1900,DISP_SUM,10466.38
1900,POP_SIZE,2639717.00
1900,MAX_DIST,35.85
1900,POPS_NUM,746.00
1900,DISP_AVG,14.03
1900,MEM_USED,33100000.00
1900,LAST_FPS,13.21
2000,DISP_SUM,10932.93
2000,POP_SIZE,2654209.00
2000,MAX_DIST,35.85
2000,POPS_NUM,771.00
2000,DISP_AVG,14.18
2000,MEM_USED,33100000.00
2000,LAST_FPS,12.57
2100,DISP_SUM,11426.04
2100,POP_SIZE,2684311.00
2100,MAX_DIST,35.85
2100,POPS_NUM,799.00
2100,DISP_AVG,14.30
2100,MEM_USED,33100000.00
2100,LAST_FPS,11.68
2200,DISP_SUM,12689.60
2200,POP_SIZE,2745203.00
2200,MAX_DIST,35.85
2200,POPS_NUM,872.00
2200,DISP_AVG,14.55
2200,MEM_USED,33100000.00
2200,LAST_FPS,10.49
2300,DISP_SUM,14778.37
2300,POP_SIZE,2863618.00
2300,MAX_DIST,35.85
2300,POPS_NUM,985.00
2300,DISP_AVG,15.00
2300,MEM_USED,33100000.00
2300,LAST_FPS,9.38
2400,DISP_SUM,17680.58
2400,POP_SIZE,2936978.63
2400,MAX_DIST,35.85
2400,POPS_NUM,1137.00
2400,DISP_AVG,15.55
2400,MEM_USED,33100000.00
2400,LAST_FPS,7.88
2500,DISP_SUM,21654.42
2500,POP_SIZE,3018164.96
2500,MAX_DIST,38.47
2500,POPS_NUM,1301.00
2500,DISP_AVG,16.64
2500,MEM_USED,33100000.00
2500,LAST_FPS,6.63
2600,DISP_SUM,25815.92
2600,POP_SIZE,3176896.38
2600,MAX_DIST,42.49
2600,POPS_NUM,1448.00
2600,DISP_AVG,17.83
2600,MEM_USED,33100000.00
2600,LAST_FPS,5.64
2700,DISP_SUM,30943.01
2700,POP_SIZE,3343736.33
2700,MAX_DIST,43.83
2700,POPS_NUM,1614.00
2700,DISP_AVG,19.17
2700,MEM_USED,33100000.00
2700,LAST_FPS,5.04
2800,DISP_SUM,37228.83
2800,POP_SIZE,3609291.33
2800,MAX_DIST,45.62
2800,POPS_NUM,1803.00
2800,DISP_AVG,20.65
2800,MEM_USED,33100000.00
2800,LAST_FPS,4.25
2900,DISP_SUM,44175.16
2900,POP_SIZE,3950812.33
2900,MAX_DIST,53.26
2900,POPS_NUM,2009.00
2900,DISP_AVG,21.99
2900,MEM_USED,33100000.00
2900,LAST_FPS,3.95
3000,DISP_SUM,49600.93
3000,POP_SIZE,4293929.89
3000,MAX_DIST,53.26
3000,POPS_NUM,2164.00
3000,DISP_AVG,22.92
3000,MEM_USED,33100000.00
3000,LAST_FPS,3.53
3100,DISP_SUM,56935.77
3100,POP_SIZE,4671513.89
3100,MAX_DIST,58.14
3100,POPS_NUM,2361.00
3100,DISP_AVG,24.12
3100,MEM_USED,33100000.00
3100,LAST_FPS,3.36
3200,DISP_SUM,65713.11
3200,POP_SIZE,4945686.15
3200,MAX_DIST,60.61
3200,POPS_NUM,2580.00
3200,DISP_AVG,25.47
3200,MEM_USED,33100000.00
3200,LAST_FPS,3.14
3300,DISP_SUM,74412.63
3300,POP_SIZE,5209697.89
3300,MAX_DIST,62.68
3300,POPS_NUM,2787.00
3300,DISP_AVG,26.70
3300,MEM_USED,33100000.00
3300,LAST_FPS,2.79
3400,DISP_SUM,83265.66
3400,POP_SIZE,5526324.64
3400,MAX_DIST,65.46
3400,POPS_NUM,2970.00
3400,DISP_AVG,28.04
3400,MEM_USED,33100000.00
3400,LAST_FPS,2.23
3500,DISP_SUM,94487.41
3500,POP_SIZE,6013856.89
3500,MAX_DIST,65.86
3500,POPS_NUM,3184.00
3500,DISP_AVG,29.68
3500,MEM_USED,33100000.00
3500,LAST_FPS,2.53
3600,DISP_SUM,104928.52
3600,POP_SIZE,6424079.89
3600,MAX_DIST,71.59
3600,POPS_NUM,3379.00
3600,DISP_AVG,31.05
3600,MEM_USED,33100000.00
3600,LAST_FPS,2.18
3700,DISP_SUM,115083.53
3700,POP_SIZE,6747825.89
3700,MAX_DIST,75.58
3700,POPS_NUM,3558.00
3700,DISP_AVG,32.35
3700,MEM_USED,33100000.00
3700,LAST_FPS,2.24
3800,DISP_SUM,122919.64
3800,POP_SIZE,6880325.89
3800,MAX_DIST,78.26
3800,POPS_NUM,3691.00
3800,DISP_AVG,33.30
3800,MEM_USED,33100000.00
3800,LAST_FPS,2.29
3900,DISP_SUM,131213.57
3900,POP_SIZE,7035758.89
3900,MAX_DIST,82.29
3900,POPS_NUM,3822.00
3900,DISP_AVG,34.33
3900,MEM_USED,33100000.00
3900,LAST_FPS,2.32
4000,DISP_SUM,138988.79
4000,POP_SIZE,7150914.89
4000,MAX_DIST,82.29
4000,POPS_NUM,3937.00
4000,DISP_AVG,35.30
4000,MEM_USED,33100000.00
4000,LAST_FPS,2.26
4100,DISP_SUM,147106.75
4100,POP_SIZE,7209927.89
4100,MAX_DIST,83.77
4100,POPS_NUM,4059.00
4100,DISP_AVG,36.24
4100,MEM_USED,33100000.00
4100,LAST_FPS,2.39
4200,DISP_SUM,153107.40
4200,POP_SIZE,7223331.89
4200,MAX_DIST,83.77
4200,POPS_NUM,4148.00
4200,DISP_AVG,36.91
4200,MEM_USED,33100000.00
4200,LAST_FPS,1.64
4300,DISP_SUM,157202.42
4300,POP_SIZE,7227592.89
4300,MAX_DIST,84.17
4300,POPS_NUM,4204.00
4300,DISP_AVG,37.39
4300,MEM_USED,33100000.00
4300,LAST_FPS,1.82
4400,DISP_SUM,161215.57
4400,POP_SIZE,7231578.89
4400,MAX_DIST,84.17
4400,POPS_NUM,4258.00
4400,DISP_AVG,37.86
4400,MEM_USED,33100000.00
4400,LAST_FPS,2.49
4500,DISP_SUM,164607.33
4500,POP_SIZE,7235234.89
4500,MAX_DIST,84.17
4500,POPS_NUM,4303.00
4500,DISP_AVG,38.25
4500,MEM_USED,33100000.00
4500,LAST_FPS,2.27
4600,DISP_SUM,167813.92
4600,POP_SIZE,7237420.89
4600,MAX_DIST,84.17
4600,POPS_NUM,4343.00
4600,DISP_AVG,38.64
4600,MEM_USED,33100000.00
4600,LAST_FPS,2.66
4700,DISP_SUM,170441.09
4700,POP_SIZE,7239073.89
4700,MAX_DIST,85.23
4700,POPS_NUM,4375.00
4700,DISP_AVG,38.96
4700,MEM_USED,33100000.00
4700,LAST_FPS,1.87
4800,DISP_SUM,172878.52
4800,POP_SIZE,7240575.89
4800,MAX_DIST,86.09
4800,POPS_NUM,4404.00
4800,DISP_AVG,39.25
4800,MEM_USED,33100000.00
4800,LAST_FPS,2.85
4900,DISP_SUM,175383.01
4900,POP_SIZE,7242120.89
4900,MAX_DIST,88.10
4900,POPS_NUM,4433.00
4900,DISP_AVG,39.56
4900,MEM_USED,33100000.00
4900,LAST_FPS,2.82
5000,DISP_SUM,176808.51
5000,POP_SIZE,7244270.89
5000,MAX_DIST,91.71
5000,POPS_NUM,4449.00
5000,DISP_AVG,39.74
5000,MEM_USED,33100000.00
5000,LAST_FPS,2.79
